term,tree,l1,l2,l3,l4,l5,l6,l7
Sphenoid Sinus,A04.531.621.827,A04,531,621,827,,,
Turbinates,A04.531.898,A04,531,898,,,,
Pharynx,A04.623,A04,623,,,,,
Hypopharynx,A04.623.490,A04,623,490,,,,
Pyriform Sinus,A04.623.490.600,A04,623,490,600,,,
Nasopharynx,A04.623.557,A04,623,557,,,,
Adenoids,A04.623.557.500,A04,623,557,500,,,
Oropharynx,A04.623.603,A04,623,603,,,,
Palatine Tonsil,A04.623.603.925,A04,623,603,925,,,
Pharyngeal Muscles,A04.623.617,A04,623,617,,,,
"Esophageal Sphincter, Upper",A04.623.617.360,A04,623,617,360,,,
Velopharyngeal Sphincter,A04.623.617.680,A04,623,617,680,,,
Pleura,A04.716,A04,716,,,,,
Respiratory Mucosa,A04.760,A04,760,,,,,
Goblet Cells,A04.760.259,A04,760,259,,,,
Laryngeal Mucosa,A04.760.520,A04,760,520,,,,
Nasal Mucosa,A04.760.600,A04,760,600,,,,
Olfactory Mucosa,A04.760.600.640,A04,760,600,640,,,
Olfactory Receptor Neurons,A04.760.600.640.640,A04,760,600,640,640,,
Trachea,A04.889,A04,889,,,,,
Urogenital System,A05,A05,,,,,,
Genitalia,A05.360,A05,360,,,,,
"Genitalia, Female",A05.360.319,A05,360,319,,,,
Adnexa Uteri,A05.360.319.114,A05,360,319,114,,,
Broad Ligament,A05.360.319.114.170,A05,360,319,114,170,,
Fallopian Tubes,A05.360.319.114.373,A05,360,319,114,373,,
Ovary,A05.360.319.114.630,A05,360,319,114,630,,
Corpus Luteum,A05.360.319.114.630.278,A05,360,319,114,630,278,
Luteal Cells,A05.360.319.114.630.278.400,A05,360,319,114,630,278,400
Ovarian Follicle,A05.360.319.114.630.535,A05,360,319,114,630,535,
Follicular Fluid,A05.360.319.114.630.535.150,A05,360,319,114,630,535,150
Granulosa Cells,A05.360.319.114.630.535.200,A05,360,319,114,630,535,200
Cumulus Cells,A05.360.319.114.630.535.200.500,A05,360,319,114,630,535,200
Theca Cells,A05.360.319.114.630.535.400,A05,360,319,114,630,535,400
Round Ligament,A05.360.319.114.803,A05,360,319,114,803,,
Uterus,A05.360.319.679,A05,360,319,679,,,
Cervix Uteri,A05.360.319.679.256,A05,360,319,679,256,,
Endometrium,A05.360.319.679.490,A05,360,319,679,490,,
Decidua,A05.360.319.679.490.373,A05,360,319,679,490,373,
Deciduoma,A05.360.319.679.490.373.500,A05,360,319,679,490,373,500
Myometrium,A05.360.319.679.690,A05,360,319,679,690,,
Vagina,A05.360.319.779,A05,360,319,779,,,
Hymen,A05.360.319.779.479,A05,360,319,779,479,,
Vulva,A05.360.319.887,A05,360,319,887,,,
Bartholin's Glands,A05.360.319.887.220,A05,360,319,887,220,,
Clitoris,A05.360.319.887.436,A05,360,319,887,436,,
"Genitalia, Male",A05.360.444,A05,360,444,,,,
Bulbourethral Glands,A05.360.444.123,A05,360,444,123,,,
Ejaculatory Ducts,A05.360.444.251,A05,360,444,251,,,
Epididymis,A05.360.444.371,A05,360,444,371,,,
Penis,A05.360.444.492,A05,360,444,492,,,
Foreskin,A05.360.444.492.362,A05,360,444,492,362,,
Urethra,A05.360.444.492.726,A05,360,444,492,726,,
Prostate,A05.360.444.575,A05,360,444,575,,,
Scrotum,A05.360.444.661,A05,360,444,661,,,
Seminal Vesicles,A05.360.444.713,A05,360,444,713,,,
Spermatic Cord,A05.360.444.777,A05,360,444,777,,,
Testis,A05.360.444.849,A05,360,444,849,,,
Leydig Cells,A05.360.444.849.513,A05,360,444,849,513,,
Rete Testis,A05.360.444.849.600,A05,360,444,849,600,,
Seminiferous Tubules,A05.360.444.849.700,A05,360,444,849,700,,
Blood-Testis Barrier,A05.360.444.849.700.349,A05,360,444,849,700,349,
Seminiferous Epithelium,A05.360.444.849.700.700,A05,360,444,849,700,700,
Sertoli Cells,A05.360.444.849.789,A05,360,444,849,789,,
Vas Deferens,A05.360.444.930,A05,360,444,930,,,
Germ Cells,A05.360.490,A05,360,490,,,,
Ovum,A05.360.490.690,A05,360,490,690,,,
Oocytes,A05.360.490.690.680,A05,360,490,690,680,,
Polar Bodies,A05.360.490.690.680.500,A05,360,490,690,680,500,
Oogonia,A05.360.490.690.700,A05,360,490,690,700,,
Zona Pellucida,A05.360.490.690.950,A05,360,490,690,950,,
Zygote,A05.360.490.690.970,A05,360,490,690,970,,
Spermatozoa,A05.360.490.890,A05,360,490,890,,,
Sperm Head,A05.360.490.890.820,A05,360,490,890,820,,
Acrosome,A05.360.490.890.820.100,A05,360,490,890,820,100,
Sperm Midpiece,A05.360.490.890.830,A05,360,490,890,830,,
Sperm Tail,A05.360.490.890.840,A05,360,490,890,840,,
Spermatids,A05.360.490.890.860,A05,360,490,890,860,,
Spermatocytes,A05.360.490.890.880,A05,360,490,890,880,,
Spermatogonia,A05.360.490.890.900,A05,360,490,890,900,,
Gonads,A05.360.576,A05,360,576,,,,
Ovary,A05.360.576.497,A05,360,576,497,,,
Testis,A05.360.576.782,A05,360,576,782,,,
Urinary Tract,A05.810,A05,810,,,,,
Kidney,A05.810.453,A05,810,453,,,,
Kidney Cortex,A05.810.453.324,A05,810,453,324,,,
Kidney Glomerulus,A05.810.453.324.359,A05,810,453,324,359,,
Glomerular Filtration Barrier,A05.810.453.324.359.372,A05,810,453,324,359,372,
Glomerular Basement Membrane,A05.810.453.324.359.372.400,A05,810,453,324,359,372,400
Podocytes,A05.810.453.324.359.372.650,A05,810,453,324,359,372,650
Juxtaglomerular Apparatus,A05.810.453.324.359.520,A05,810,453,324,359,520,
Mesangial Cells,A05.810.453.324.359.620,A05,810,453,324,359,620,
Glomerular Mesangium,A05.810.453.324.359.620.500,A05,810,453,324,359,620,500
Kidney Medulla,A05.810.453.466,A05,810,453,466,,,
Kidney Pelvis,A05.810.453.537,A05,810,453,537,,,
Kidney Calices,A05.810.453.537.503,A05,810,453,537,503,,
Nephrons,A05.810.453.736,A05,810,453,736,,,
Kidney Glomerulus,A05.810.453.736.520,A05,810,453,736,520,,
Glomerular Basement Membrane,A05.810.453.736.520.224,A05,810,453,736,520,224,
Glomerular Filtration Barrier,A05.810.453.736.520.372,A05,810,453,736,520,372,
Juxtaglomerular Apparatus,A05.810.453.736.520.520,A05,810,453,736,520,520,
Mesangial Cells,A05.810.453.736.520.620,A05,810,453,736,520,620,
Glomerular Mesangium,A05.810.453.736.520.620.500,A05,810,453,736,520,620,500
Podocytes,A05.810.453.736.520.720,A05,810,453,736,520,720,
Kidney Tubules,A05.810.453.736.560,A05,810,453,736,560,,
Bowman Capsule,A05.810.453.736.560.254,A05,810,453,736,560,254,
"Kidney Tubules, Collecting",A05.810.453.736.560.510,A05,810,453,736,560,510,
"Kidney Tubules, Distal",A05.810.453.736.560.540,A05,810,453,736,560,540,
"Kidney Tubules, Proximal",A05.810.453.736.560.570,A05,810,453,736,560,570,
Loop of Henle,A05.810.453.736.560.610,A05,810,453,736,560,610,
Ureter,A05.810.776,A05,810,776,,,,
Urethra,A05.810.876,A05,810,876,,,,
Urinary Bladder,A05.810.890,A05,810,890,,,,
Endocrine System,A06,A06,,,,,,
Chromaffin System,A06.224,A06,224,,,,,
Chromaffin Cells,A06.224.161,A06,224,161,,,,
Chromaffin Granules,A06.224.161.500,A06,224,161,500,,,
Enterochromaffin Cells,A06.224.358,A06,224,358,,,,
Enterochromaffin-like Cells,A06.224.365,A06,224,365,,,,
Para-Aortic Bodies,A06.224.636,A06,224,636,,,,
"Paraganglia, Chromaffin",A06.224.736,A06,224,736,,,,
Enteroendocrine Cells,A06.390,A06,390,,,,,
Enterochromaffin Cells,A06.390.021,A06,390,21,,,,
Enterochromaffin-like Cells,A06.390.043,A06,390,43,,,,
Gastrin-Secreting Cells,A06.390.065,A06,390,65,,,,
Glucagon-Secreting Cells,A06.390.087,A06,390,87,,,,
Insulin-Secreting Cells,A06.390.131,A06,390,131,,,,
Pancreatic Polypeptide-Secreting Cells,A06.390.650,A06,390,650,,,,
Somatostatin-Secreting Cells,A06.390.825,A06,390,825,,,,
Endocrine Glands,A06.407,A06,407,,,,,
Adrenal Glands,A06.407.071,A06,407,71,,,,
Adrenal Cortex,A06.407.071.140,A06,407,71,140,,,
Zona Fasciculata,A06.407.071.140.950,A06,407,71,140,950,,
Zona Glomerulosa,A06.407.071.140.960,A06,407,71,140,960,,
Zona Reticularis,A06.407.071.140.970,A06,407,71,140,970,,
Adrenal Medulla,A06.407.071.265,A06,407,71,265,,,
Gonads,A06.407.312,A06,407,312,,,,
Ovary,A06.407.312.497,A06,407,312,497,,,
Corpus Luteum,A06.407.312.497.278,A06,407,312,497,278,,
Luteal Cells,A06.407.312.497.278.400,A06,407,312,497,278,400,
Ovarian Follicle,A06.407.312.497.535,A06,407,312,497,535,,
Follicular Fluid,A06.407.312.497.535.150,A06,407,312,497,535,150,
Granulosa Cells,A06.407.312.497.535.300,A06,407,312,497,535,300,
Cumulus Cells,A06.407.312.497.535.300.500,A06,407,312,497,535,300,500
Theca Cells,A06.407.312.497.535.600,A06,407,312,497,535,600,
Testis,A06.407.312.782,A06,407,312,782,,,
Leydig Cells,A06.407.312.782.513,A06,407,312,782,513,,
Islets of Langerhans,A06.407.414,A06,407,414,,,,
Glucagon-Secreting Cells,A06.407.414.043,A06,407,414,43,,,
Insulin-Secreting Cells,A06.407.414.087,A06,407,414,87,,,
Pancreatic Polypeptide-Secreting Cells,A06.407.414.587,A06,407,414,587,,,
Somatostatin-Secreting Cells,A06.407.414.793,A06,407,414,793,,,
Parathyroid Glands,A06.407.560,A06,407,560,,,,
Pineal Gland,A06.407.635,A06,407,635,,,,
Pituitary-Adrenal System,A06.407.691,A06,407,691,,,,
Pituitary Gland,A06.407.747,A06,407,747,,,,
"Pituitary Gland, Anterior",A06.407.747.500,A06,407,747,500,,,
Corticotrophs,A06.407.747.500.500,A06,407,747,500,500,,
Gonadotrophs,A06.407.747.500.750,A06,407,747,500,750,,
Lactotrophs,A06.407.747.500.812,A06,407,747,500,812,,
Somatotrophs,A06.407.747.500.937,A06,407,747,500,937,,
Thyrotrophs,A06.407.747.500.968,A06,407,747,500,968,,
"Pituitary Gland, Intermediate",A06.407.747.750,A06,407,747,750,,,
Melanotrophs,A06.407.747.750.500,A06,407,747,750,500,,
"Pituitary Gland, Posterior",A06.407.747.875,A06,407,747,875,,,
Thyroid Gland,A06.407.900,A06,407,900,,,,
Neurosecretory Systems,A06.688,A06,688,,,,,
Hypothalamo-Hypophyseal System,A06.688.357,A06,688,357,,,,
Median Eminence,A06.688.357.500,A06,688,357,500,,,
Pituitary Gland,A06.688.357.750,A06,688,357,750,,,
"Pituitary Gland, Anterior",A06.688.357.750.500,A06,688,357,750,500,,
Corticotrophs,A06.688.357.750.500.500,A06,688,357,750,500,500,
Gonadotrophs,A06.688.357.750.500.750,A06,688,357,750,500,750,
Lactotrophs,A06.688.357.750.500.812,A06,688,357,750,500,812,
Somatotrophs,A06.688.357.750.500.937,A06,688,357,750,500,937,
Thyrotrophs,A06.688.357.750.500.968,A06,688,357,750,500,968,
"Pituitary Gland, Intermediate",A06.688.357.750.750,A06,688,357,750,750,,
Melanotrophs,A06.688.357.750.750.500,A06,688,357,750,750,500,
"Pituitary Gland, Posterior",A06.688.357.750.875,A06,688,357,750,875,,
Pineal Gland,A06.688.733,A06,688,733,,,,
Cardiovascular System,A07,A07,,,,,,
Blood-Air Barrier,A07.025,A07,25,,,,,
Blood-Aqueous Barrier,A07.030,A07,30,,,,,
Blood-Brain Barrier,A07.035,A07,35,,,,,
Blood-Nerve Barrier,A07.037,A07,37,,,,,
Blood-Retinal Barrier,A07.040,A07,40,,,,,
Blood-Testis Barrier,A07.045,A07,45,,,,,
Blood Vessels,A07.231,A07,231,,,,,
Arteries,A07.231.114,A07,231,114,,,,
Aorta,A07.231.114.056,A07,231,114,56,,,
"Aorta, Abdominal",A07.231.114.056.205,A07,231,114,56,205,,
"Aorta, Thoracic",A07.231.114.056.372,A07,231,114,56,372,,
Sinus of Valsalva,A07.231.114.056.847,A07,231,114,56,847,,
Arterioles,A07.231.114.060,A07,231,114,60,,,
Axillary Artery,A07.231.114.085,A07,231,114,85,,,
Basilar Artery,A07.231.114.106,A07,231,114,106,,,
Brachial Artery,A07.231.114.139,A07,231,114,139,,,
Brachiocephalic Trunk,A07.231.114.145,A07,231,114,145,,,
Bronchial Arteries,A07.231.114.158,A07,231,114,158,,,
Carotid Arteries,A07.231.114.186,A07,231,114,186,,,
"Carotid Artery, Common",A07.231.114.186.200,A07,231,114,186,200,,
"Carotid Artery, External",A07.231.114.186.200.210,A07,231,114,186,200,210,
"Carotid Artery, Internal",A07.231.114.186.200.230,A07,231,114,186,200,230,
Carotid Sinus,A07.231.114.186.456,A07,231,114,186,456,,
Celiac Artery,A07.231.114.207,A07,231,114,207,,,
Cerebral Arteries,A07.231.114.228,A07,231,114,228,,,
Anterior Cerebral Artery,A07.231.114.228.100,A07,231,114,228,100,,
Circle of Willis,A07.231.114.228.351,A07,231,114,228,351,,
Middle Cerebral Artery,A07.231.114.228.550,A07,231,114,228,550,,
Posterior Cerebral Artery,A07.231.114.228.700,A07,231,114,228,700,,
Temporal Arteries,A07.231.114.228.868,A07,231,114,228,868,,
Ciliary Arteries,A07.231.114.248,A07,231,114,248,,,
Coronary Vessels,A07.231.114.269,A07,231,114,269,,,
Epigastric Arteries,A07.231.114.330,A07,231,114,330,,,
Femoral Artery,A07.231.114.351,A07,231,114,351,,,
Gastroepiploic Artery,A07.231.114.379,A07,231,114,379,,,
Hepatic Artery,A07.231.114.407,A07,231,114,407,,,
Iliac Artery,A07.231.114.444,A07,231,114,444,,,
Maxillary Artery,A07.231.114.523,A07,231,114,523,,,
Meningeal Arteries,A07.231.114.545,A07,231,114,545,,,
Mesenteric Arteries,A07.231.114.565,A07,231,114,565,,,
"Mesenteric Artery, Inferior",A07.231.114.565.510,A07,231,114,565,510,,
"Mesenteric Artery, Superior",A07.231.114.565.755,A07,231,114,565,755,,
Ophthalmic Artery,A07.231.114.622,A07,231,114,622,,,
Popliteal Artery,A07.231.114.681,A07,231,114,681,,,
Pulmonary Artery,A07.231.114.715,A07,231,114,715,,,
Radial Artery,A07.231.114.740,A07,231,114,740,,,
Renal Artery,A07.231.114.745,A07,231,114,745,,,
Retinal Artery,A07.231.114.765,A07,231,114,765,,,
Splenic Artery,A07.231.114.814,A07,231,114,814,,,
Subclavian Artery,A07.231.114.839,A07,231,114,839,,,
Thoracic Arteries,A07.231.114.891,A07,231,114,891,,,
Mammary Arteries,A07.231.114.891.525,A07,231,114,891,525,,
Tibial Arteries,A07.231.114.895,A07,231,114,895,,,
Ulnar Artery,A07.231.114.920,A07,231,114,920,,,
Umbilical Arteries,A07.231.114.929,A07,231,114,929,,,
Uterine Artery,A07.231.114.940,A07,231,114,940,,,
Vertebral Artery,A07.231.114.955,A07,231,114,955,,,
"Endothelium, Vascular",A07.231.330,A07,231,330,,,,
Pericytes,A07.231.330.600,A07,231,330,600,,,
Tunica Intima,A07.231.330.800,A07,231,330,800,,,
Microvessels,A07.231.461,A07,231,461,,,,
Arterioles,A07.231.461.080,A07,231,461,80,,,
Arteriovenous Anastomosis,A07.231.461.085,A07,231,461,85,,,
Capillaries,A07.231.461.165,A07,231,461,165,,,
Venules,A07.231.461.920,A07,231,461,920,,,
"Muscle, Smooth, Vascular",A07.231.491,A07,231,491,,,,
Tunica Media,A07.231.491.800,A07,231,491,800,,,
Retinal Vessels,A07.231.611,A07,231,611,,,,
Retinal Artery,A07.231.611.647,A07,231,611,647,,,
Retinal Vein,A07.231.611.773,A07,231,611,773,,,
Tunica Intima,A07.231.700,A07,231,700,,,,
Vasa Nervorum,A07.231.765,A07,231,765,,,,
Vasa Vasorum,A07.231.836,A07,231,836,,,,
Veins,A07.231.908,A07,231,908,,,,
Axillary Vein,A07.231.908.077,A07,231,908,77,,,
Azygos Vein,A07.231.908.106,A07,231,908,106,,,
Brachiocephalic Veins,A07.231.908.130,A07,231,908,130,,,
Cerebral Veins,A07.231.908.155,A07,231,908,155,,,
Coronary Vessels,A07.231.908.194,A07,231,908,194,,,
Coronary Sinus,A07.231.908.194.500,A07,231,908,194,500,,
Cranial Sinuses,A07.231.908.224,A07,231,908,224,,,
Cavernous Sinus,A07.231.908.224.334,A07,231,908,224,334,,
Superior Sagittal Sinus,A07.231.908.224.667,A07,231,908,224,667,,
Transverse Sinuses,A07.231.908.224.833,A07,231,908,224,833,,
Femoral Vein,A07.231.908.314,A07,231,908,314,,,
Hepatic Veins,A07.231.908.380,A07,231,908,380,,,
Iliac Vein,A07.231.908.427,A07,231,908,427,,,
Jugular Veins,A07.231.908.498,A07,231,908,498,,,
Popliteal Vein,A07.231.908.641,A07,231,908,641,,,
Portal System,A07.231.908.670,A07,231,908,670,,,
Mesenteric Veins,A07.231.908.670.385,A07,231,908,670,385,,
Portal Vein,A07.231.908.670.567,A07,231,908,670,567,,
Splenic Vein,A07.231.908.670.730,A07,231,908,670,730,,
Umbilical Veins,A07.231.908.670.874,A07,231,908,670,874,,
Pulmonary Veins,A07.231.908.713,A07,231,908,713,,,
Renal Veins,A07.231.908.752,A07,231,908,752,,,
Retinal Vein,A07.231.908.783,A07,231,908,783,,,
Saphenous Vein,A07.231.908.819,A07,231,908,819,,,
Subclavian Vein,A07.231.908.877,A07,231,908,877,,,
Venae Cavae,A07.231.908.949,A07,231,908,949,,,
"Vena Cava, Inferior",A07.231.908.949.648,A07,231,908,949,648,,
"Vena Cava, Superior",A07.231.908.949.815,A07,231,908,949,815,,
Venous Valves,A07.231.908.950,A07,231,908,950,,,
Venules,A07.231.908.952,A07,231,908,952,,,
Glomerular Filtration Barrier,A07.500,A07,500,,,,,
Heart,A07.541,A07,541,,,,,
Endocardium,A07.541.207,A07,541,207,,,,
Fetal Heart,A07.541.278,A07,541,278,,,,
Ductus Arteriosus,A07.541.278.395,A07,541,278,395,,,
Truncus Arteriosus,A07.541.278.930,A07,541,278,930,,,
Heart Atria,A07.541.358,A07,541,358,,,,
Atrial Appendage,A07.541.358.100,A07,541,358,100,,,
Heart Conduction System,A07.541.409,A07,541,409,,,,
Atrioventricular Node,A07.541.409.147,A07,541,409,147,,,
Bundle of His,A07.541.409.273,A07,541,409,273,,,
Purkinje Fibers,A07.541.409.683,A07,541,409,683,,,
Sinoatrial Node,A07.541.409.819,A07,541,409,819,,,
Heart Septum,A07.541.459,A07,541,459,,,,
Atrial Septum,A07.541.459.249,A07,541,459,249,,,
Endocardial Cushions,A07.541.459.374,A07,541,459,374,,,
Foramen Ovale,A07.541.459.500,A07,541,459,500,,,
Ventricular Septum,A07.541.459.750,A07,541,459,750,,,
Heart Valves,A07.541.510,A07,541,510,,,,
Aortic Valve,A07.541.510.110,A07,541,510,110,,,
Chordae Tendineae,A07.541.510.240,A07,541,510,240,,,
Mitral Valve,A07.541.510.507,A07,541,510,507,,,
Papillary Muscles,A07.541.510.619,A07,541,510,619,,,
Pulmonary Valve,A07.541.510.738,A07,541,510,738,,,
Tricuspid Valve,A07.541.510.893,A07,541,510,893,,,
Heart Ventricles,A07.541.560,A07,541,560,,,,
Myocardium,A07.541.704,A07,541,704,,,,
"Myoblasts, Cardiac",A07.541.704.500,A07,541,704,500,,,
"Myocytes, Cardiac",A07.541.704.570,A07,541,704,570,,,
Papillary Muscles,A07.541.704.750,A07,541,704,750,,,
Papillary Muscles,A07.541.749,A07,541,749,,,,
Pericardium,A07.541.795,A07,541,795,,,,
Nervous System,A08,A08,,,,,,
Central Nervous System,A08.186,A08,186,,,,,
Brain,A08.186.211,A08,186,211,,,,
Blood-Brain Barrier,A08.186.211.035,A08,186,211,35,,,
Brain Stem,A08.186.211.132,A08,186,211,132,,,
Mesencephalon,A08.186.211.132.659,A08,186,211,132,659,,
Locus Coeruleus,A08.186.211.132.659.473,A08,186,211,132,659,473,
Raphe Nuclei,A08.186.211.132.659.632,A08,186,211,132,659,632,
Tectum Mesencephali,A08.186.211.132.659.727,A08,186,211,132,659,727,
Inferior Colliculi,A08.186.211.132.659.727.407,A08,186,211,132,659,727,407
Superior Colliculi,A08.186.211.132.659.727.816,A08,186,211,132,659,727,816
Tegmentum Mesencephali,A08.186.211.132.659.822,A08,186,211,132,659,822,
Cerebral Aqueduct,A08.186.211.132.659.822.187,A08,186,211,132,659,822,187
Pedunculopontine Tegmental Nucleus,A08.186.211.132.659.822.575,A08,186,211,132,659,822,575
Periaqueductal Gray,A08.186.211.132.659.822.595,A08,186,211,132,659,822,595
Red Nucleus,A08.186.211.132.659.822.642,A08,186,211,132,659,822,642
Substantia Nigra,A08.186.211.132.659.822.731,A08,186,211,132,659,822,731
Ventral Tegmental Area,A08.186.211.132.659.822.820,A08,186,211,132,659,822,820
Reticular Formation,A08.186.211.132.772,A08,186,211,132,772,,
Respiratory Center,A08.186.211.132.772.646,A08,186,211,132,772,646,
Rhombencephalon,A08.186.211.132.810,A08,186,211,132,810,,
Medulla Oblongata,A08.186.211.132.810.406,A08,186,211,132,810,406,
Area Postrema,A08.186.211.132.810.406.286,A08,186,211,132,810,406,286
Olivary Nucleus,A08.186.211.132.810.406.574,A08,186,211,132,810,406,574
Solitary Nucleus,A08.186.211.132.810.406.750,A08,186,211,132,810,406,750
Metencephalon,A08.186.211.132.810.428,A08,186,211,132,810,428,
Cerebellum,A08.186.211.132.810.428.200,A08,186,211,132,810,428,200
Cerebellar Cortex,A08.186.211.132.810.428.200.212,A08,186,211,132,810,428,200
Purkinje Cells,A08.186.211.132.810.428.200.212.600,A08,186,211,132,810,428,200
Cerebellar Nuclei,A08.186.211.132.810.428.200.337,A08,186,211,132,810,428,200
Cerebellopontine Angle,A08.186.211.132.810.428.200.462,A08,186,211,132,810,428,200
Pons,A08.186.211.132.810.428.600,A08,186,211,132,810,428,600
Cochlear Nucleus,A08.186.211.132.810.428.600.135,A08,186,211,132,810,428,600
Locus Coeruleus,A08.186.211.132.810.428.600.500,A08,186,211,132,810,428,600
Vestibular Nuclei,A08.186.211.132.810.428.600.800,A08,186,211,132,810,428,600
"Vestibular Nucleus, Lateral",A08.186.211.132.810.428.600.800.800,A08,186,211,132,810,428,600
Raphe Nuclei,A08.186.211.132.810.507,A08,186,211,132,810,507,
Trigeminal Nuclei,A08.186.211.132.931,A08,186,211,132,931,,
"Trigeminal Nucleus, Spinal",A08.186.211.132.931.920,A08,186,211,132,931,920,
Trigeminal Caudal Nucleus,A08.186.211.132.931.920.927,A08,186,211,132,931,920,927
Cerebral Ventricles,A08.186.211.276,A08,186,211,276,,,
Cerebral Aqueduct,A08.186.211.276.187,A08,186,211,276,187,,
Choroid Plexus,A08.186.211.276.298,A08,186,211,276,298,,
Ependyma,A08.186.211.276.460,A08,186,211,276,460,,
Fourth Ventricle,A08.186.211.276.500,A08,186,211,276,500,,
Lateral Ventricles,A08.186.211.276.650,A08,186,211,276,650,,
Septum Pellucidum,A08.186.211.276.814,A08,186,211,276,814,,
Third Ventricle,A08.186.211.276.840,A08,186,211,276,840,,
Limbic System,A08.186.211.464,A08,186,211,464,,,
Amygdala,A08.186.211.464.090,A08,186,211,464,90,,
Epithalamus,A08.186.211.464.200,A08,186,211,464,200,,
Habenula,A08.186.211.464.200.360,A08,186,211,464,200,360,
"Fornix, Brain",A08.186.211.464.265,A08,186,211,464,265,,
Gyrus Cinguli,A08.186.211.464.330,A08,186,211,464,330,,
Hippocampus,A08.186.211.464.405,A08,186,211,464,405,,
"CA1 Region, Hippocampal",A08.186.211.464.405.099,A08,186,211,464,405,99,
"CA2 Region, Hippocampal",A08.186.211.464.405.149,A08,186,211,464,405,149,
"CA3 Region, Hippocampal",A08.186.211.464.405.174,A08,186,211,464,405,174,
Dentate Gyrus,A08.186.211.464.405.200,A08,186,211,464,405,200,
"Mossy Fibers, Hippocampal",A08.186.211.464.405.200.500,A08,186,211,464,405,200,500
Pyramidal Cells,A08.186.211.464.405.700,A08,186,211,464,405,700,
Hypothalamus,A08.186.211.464.482,A08,186,211,464,482,,
Olfactory Pathways,A08.186.211.464.699,A08,186,211,464,699,,
Islands of Calleja,A08.186.211.464.699.400,A08,186,211,464,699,400,
Olfactory Bulb,A08.186.211.464.699.573,A08,186,211,464,699,573,
Parahippocampal Gyrus,A08.186.211.464.710,A08,186,211,464,710,,
Entorhinal Cortex,A08.186.211.464.710.225,A08,186,211,464,710,225,
Perforant Pathway,A08.186.211.464.730,A08,186,211,464,730,,
Septum of Brain,A08.186.211.464.750,A08,186,211,464,750,,
Septal Nuclei,A08.186.211.464.750.800,A08,186,211,464,750,800,
